card_name,card_number
ethan's-pinsir,1
yanma,2
cynthia's-roselia,7
dwebble,11
fomantis,13
lurantis,14
team-rocket's-blipbug-reverse-holo,15
dipplin,17
team-rocket's-spidops,20
team-rocket's-spidops-reverse-holo,20
smoliv,21
rellor,24
growlithe-reverse-holo,27
arcanine,28
ponyta-reverse-holo,29
ethan's-cyndaquil,32
ethan's-cyndaquil-reverse-holo,32
ethan's-quilava,33
ethan's-typhlosion,34
ethan's-typhlosion-stamped,34
ethan's-slugma,35
ethan's-magcargo,36
team-rocket's-houndour,37
team-rocket's-houndoom,38
torchic,40
blaziken,42
hearthflame-mask-ogerpon,44
misty's-psyduck,45
misty's-starmie-reverse-holo,47
misty's-magikarp,48
misty's-lapras,50
team-rocket's-articuno,51
team-rocket's-articuno-reverse-holo,51
cynthia's-milotic,53
gorebyss,56
buizel,57
floatzel,58
wash-rotom,61
wellspring-mask-ogerpon,67
wellspring-mask-ogerpon-reverse-holo,67
team-rocket's-flaafy-reverse-holo,73
team-rocket's-ampharos,74
electrike,75
manectric,76
rotom,77
zeraora,78
team-rocket's-drowzee,79
team-rocket's-hypno,80
steven's-baltoy-reverse-holo,83
team-rocket's-chingling,85
steven's-carbink,86
team-rocket's-mimikyu,87
primeape-reverse-holo,91
annihilape,92
ethan's-sudowoodo,93
team-rocket's-larvitar,94
team-rocket's-pupitar,95
team-rocket's-tyranitar,96
probopass,98
meditite,99
mudsdale,108
arven's-toedscool,109
arven's-toedscruel,110
cornerstone-mask-ogerpon,111
team-rocket's-arbok,113
team-rocket's-nidoran,114
team-rocket's-nidoran,117
team-rocket's-grimer,123
team-rocket's-muk,124
team-rocket's-koffing,125
cynthia's-spiritomb,129
marnie's-scrafty-reverse-holo,133
marnie's-impidimp,134
marnie's-morgrem,135
marnie's-morgrem-reverse-holo,135
arven's-maschiff,138
arven's-mabosstiff-ex,139
forretress,140
steven's-metagross-ex,145
zamazenta,146
team-rocket's-porygon,153
team-rocket's-porygon2,154
team-rocket's-porygon-z,155
taillow,156
arven's-skwovet,158
arven's-skwovet-reverse-holo,158
squawkabilly,160
squawkabilly-reverse-holo,160
arven's-sandwich,161
cynthia's-power-weight,162
emcee's-hype,163
ethan's-adventure,165
ethan's-adventure-reverse-holo,165
granite-cave-reverse-holo,166
judge,167
sacred-ash,168
team-rocket's-archer,170
team-rocket's-archer-reverse-holo,170
team-rocket's-ariana,171
team-rocket's-ariana-reverse-holo,171
team-rocket's-bother-bot,172
team-rocket's-factory,173
team-rocket's-giovanni,174
team-rocket's-great-ball,175
team-rocket's-petrel,176
team-rocket's-transceiver,178
team-rocket's-energy,182
team-rocket's-raticate,202
team-rocket's-meowth,203
yanmega-ex,206
arboliva-ex,207
