card_name,card_number
tangela,1,3
tangrowth-reverse-holo,2
pinsir,3
spinarak,4
sunkern,6
sunflora,7,2
heracross-reverse-holo,8
volbeat,9
volbeat-reverse-holo,9
illumise,10
illumise-reverse-holo,10
leafeon,11
leafeon-reverse-holo,11
trevenant,13,2
trevenant-reverse-holo,13
grookey,14
rillaboom-reverse-holo,16
applin,17,2
dipplin,18,4
iron-leaves,19
poltchageist,20,2
sinistcha,22
teal-mask-ogerpon,24
ninetales,27,3
magcargo-ex,29
torkoal,30
torkoal-reverse-holo,30
chimchar,31,3
monferno,32
darumaka,34
darmanitan,35,2
darmanitan-reverse-holo,35
lampent,37,2
chandelure,38,2
chandelure-reverse-holo,38
chi-yu,39,2
poliwag,41
poliwhirl,42,2
poliwrath,43
seaking-reverse-holo,45
jynx,46
corphish,47
crawdaunt,48
crawdaunt-reverse-holo,48
snorunt,51,2
snorunt-reverse-holo,51
glalie,52
froslass,53
glaceon,54,3
phione,55
froakie-reverse-holo,56
phione-reverse-holo,55
frogadier,57
cramorant,58
finizen,59,2
finizen-reverse-holo,59
palafin,60,4
iron-bundle,62,4
walking-wake,63
wellspring-mask-ogerpon-ex,64
shinx,66
luxio-reverse-holo,67
luxray-ex,68
emolga,69,2
helioptile,70
heliolisk-reverse-holo,71
mopeko-reverse-holo,72
tadbulb,73
kilowattrel,76
clefairy,78,2
clefairy-reverse-holo,78
clefable,79,2
abra,80,2
abra-reverse-holo,80
chimecho,85
chimecho-reverse-holo,85
flabebe,86,2
floette,87
floette-reverse-holo,87
swirlix,89
enamorus,93
munkidori,95
fezandipiti,96
sandshrew,97,2
sandslash,98,3
hisuian-growlithe,99
hisuian-arcanine,100
hisuian-arcanine-reverse-holo,100
nosepass,101
nosepass-reverse-holo,101
timburr,103
gurdurr,104
gurdurr-reverse-holo,104
greninja-ex,106
glimmet,108
glimmet-reverse-holo,108
okidogi,111,3
poochyena,113
mightyena,114,2
venipede,115
whirlipede,116
whirlipede-reverse-holo,116
scolipede,117
skarmory,119
aron,120,2
lairon,121,2
lairon-reverse-holo,121
aggron,122
heatran-reverse-holo,123
varoom,124
varoom-reverse-holo,124
drakloak,129
tatsugiri,131,3
tatsugiri-reverse-holo,131
farfetch'd,132
chansey,133,3
chansey-reverse-holo,133
snorlax,136
aipom,137
ducklett,139,3
swanna-reverse-holo,140
bug-catching-set,143
caretaker,144
caretaker-reverse-holo,144
carmine,145
carmine-reverse-holo,145
cook,147,2
enhanced-hammer,148
festival-grounds,149
jamming-tower,153,4
kieran,154,2
lana's-aid,155
lucian,157,2
lucky-helmet,158,2
ogre's-mask-reverse-holo,159
lucky-helmet-reverse-holo,158
perrin,160
raifort,161
boomerang-energy,166,2
timburr,183
sinistcha-ex,189
