set,card_name,card_number,quantity,batch_start_time,scraped_at,ungraded,grade_7,grade_8,grade_9,grade_95,psa_10,status,error_type,error_message,url
pokemon-destined-rivals,team-rocket's-meowth,203,1,2026-02-18T22:30:10.450954,2026-02-18T22:32:50.496838,$18.99,$15.94,$19.50,$29.63,$41.00,$138.75,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-meowth-203
pokemon-stellar-crown,lacey,172,1.0,2026-02-18T13:22:30.725024,2026-02-18T13:22:52.319355,$16.77,$12.00,$15.15,$23.00,$25.00,$62.50,,,,https://www.pricecharting.com/game/pokemon-stellar-crown/lacey-172
pokemon-destined-rivals,ethan's-typhlosion-stamped,34,1,2026-02-18T22:30:10.450954,2026-02-18T22:30:32.535845,$12.25,,$19.99,$26.59,$29.00,$85.28,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-typhlosion-stamped-34
pokemon-white-flare,scraggy,138,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:25:17.980243,$10.75,,$14.74,$22.49,$25.00,$134.44,,,,https://www.pricecharting.com/game/pokemon-white-flare/scraggy-138
pokemon-black-bolt,karrablast,94,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:56:21.771737,$9.98,$9.00,$11.50,$17.95,$20.00,$117.89,,,,https://www.pricecharting.com/game/pokemon-black-bolt/karrablast-94
pokemon-white-flare,woobat,119,1,2026-02-18T22:30:10.450954,2026-02-18T22:49:19.974864,$7.77,,$10.42,$19.87,$22.00,$82.00,,,,https://www.pricecharting.com/game/pokemon-white-flare/woobat-119
pokemon-black-bolt,timburr-masterball,47,1,2026-02-18T22:30:10.450954,2026-02-18T22:33:16.992670,$6.98,,,$18.04,$20.00,$21.50,,,,https://www.pricecharting.com/game/pokemon-black-bolt/timburr-masterball-47
pokemon-black-bolt,darmanitan,98,1,2026-02-18T22:30:10.450954,2026-02-18T22:33:22.620192,$6.95,,$14.95,$18.10,$20.00,$88.00,,,,https://www.pricecharting.com/game/pokemon-black-bolt/darmanitan-98
pokemon-white-flare,pignite-master-ball,12,1,2026-02-18T22:30:10.450954,2026-02-18T22:48:30.778683,$5.67,,,$14.00,$15.00,$56.14,,,,https://www.pricecharting.com/game/pokemon-white-flare/pignite-master-ball-12
pokemon-destined-rivals,team-rocket's-ariana,224,1,2026-02-18T22:30:10.450954,2026-02-18T22:33:06.133442,$5.63,$11.76,$17.47,$19.00,$21.00,$31.99,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-ariana-224
